kernel,count,total_us,avg_us,pct
aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384,2480,1796256,724.3,21.9
ck::kernel_moe_gemm<ck::GridwiseMoeGemmBlockScale<ck::tensor_layout::gemm::RowMa,33148,1770374,53.4,21.6
"aiter::mix_sample_outer_exponential_kernel<std::bfloat16_t, 1024, 64, 4, true>(s",330,1593818,4829.8,19.4
ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blockscale_b_preshuffle<ck::GridwiseGemm,38156,905548,23.7,11.0
_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bDB8_Li32EEEvPT0_PfPKT_PKfi,73784,412059,5.6,5.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, true,",38132,226256,5.9,2.8
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT16x16x64_MI16x16x1_SN_LDSB0_AFC0_AFE,16598,203300,12.2,2.5
aiter::pa_bf16_pertokenFp8_gqa8_2tg_4w,16598,177200,10.7,2.2
"ck_tile::kentry<2, ck_tile::MoeSortingKernel<ck_tile::MoeSortingProblemEx<int, f",16593,136247,8.2,1.7
"aiter::grouped_topk_kernel<float, float __vector(4), 1, true, true, false>(float",19073,132954,7.0,1.6
_ZN5aiter45reshape_and_cache_with_per_token_quant_kernelIDF16bDB8_fLb1ELi64EEEvP,19078,118162,6.2,1.4
"aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 0, true, fal",19078,115473,6.1,1.4
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_1,19078,112875,5.9,1.4
triton_poi_fused__to_copy_0,19078,112708,5.9,1.4
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_split_with_sizes_2,19078,106677,5.6,1.3
aiter::fmha_fwd_hd128_bf16_causal_group,2480,104478,42.1,1.3
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x32x256_MI16x16x1_SN_LDSB1_AFC0_AF,2108,44386,21.1,0.5
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x512_MI16x16x1_SN_LDSB1_AFC0,241,41678,172.9,0.5
kv_indices_generate_kernel,290,31560,108.8,0.4
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P23<ck_tile::MoeSortingPr",2480,20065,8.1,0.2
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P0_v2<ck_tile::MoeSorting",2356,14828,6.3,0.2
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x256_MI16x16x1_SN_LDSB1_AFC0,65,12464,191.8,0.2
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT64x32x128_MI16x16x1_SN_LDSB1_AFC0_AF,248,7259,29.3,0.1
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x160x64_MI16x16x1_SN_LDSB1_AFC0_AF,62,3736,60.3,0.0
Cijk_Alik_Bljk_S_B_Bias_HA_S_SAV_UserArgs_MT32x96x128_MI16x16x1_SN_LDSB1_AFC0_AF,62,2542,41.0,0.0
triton_poi_fused_embedding_0,330,1812,5.5,0.0
"aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 16, false",330,1772,5.4,0.0
__amd_rocclr_copyBuffer,266,1504,5.7,0.0
"ck_tile::kentry<256, ck_tile::MoeSortingMultiPhaseKernel_P0_v1<ck_tile::MoeSorti",124,660,5.3,0.0
"ck_tile::kentry<2, ck_tile::MoeSortingMultiPhaseKernel_P1<ck_tile::MoeSortingPro",124,654,5.3,0.0
"ck_tile::kentry<2, ck_tile::MoeSortingClearWorkspaceKernel<ck_tile::MoeSortingCl",124,652,5.3,0.0
"at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter",60,268,4.5,0.0
"at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl",40,222,5.5,0.0
"at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, ",40,218,5.4,0.0
"at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::na",34,196,5.8,0.0
"at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, l",6,35,5.8,0.0
